date,localIP,remoteASN,Count,Traffic
2006-07-01,0,701,1,Yes
2006-07-01,0,714,1,Yes
2006-07-01,0,1239,1,Yes
2006-07-01,0,1680,1,Yes
2006-07-01,0,2514,1,No
2006-07-01,0,3320,1,No
2006-07-01,0,3561,13,Yes
2006-07-01,0,4134,3,Yes
2006-07-01,0,5617,2,Yes
2006-07-01,0,6478,1,No
2006-07-01,0,6713,1,No
2006-07-01,0,7132,1,No
2006-07-01,0,9105,1,Yes
2006-07-01,0,10738,1,Yes
2006-07-01,0,10994,1,Yes
2006-07-01,0,12334,1,No
2006-07-01,0,12524,1,No
2006-07-01,0,12542,1,No
2006-07-01,0,13343,1,No
2006-07-01,0,13446,1,No
2006-07-01,0,13462,20,No
2006-07-01,0,13867,1,No
2006-07-01,0,13989,1,Yes
2006-07-01,0,14501,37,Yes
2006-07-01,0,16755,1,Yes
2006-07-01,0,17228,1,Yes
2006-07-01,0,19262,1,Yes
2006-07-01,0,19444,1,Yes
2006-07-01,0,20258,1,No
2006-07-01,0,20299,1,No
2006-07-01,0,20685,1,No
2006-07-01,0,21003,1,No
2006-07-01,0,24915,2,No
2006-07-01,0,29571,1,No
2006-07-01,0,32636,1,Yes
